
"model-based estimates of unemployment"
"ONS Crown Copyright Reserved [from Nomis on 7 January 2026]"
"Analysis   :","standard"
"Item Name  :","Unemployment rate (model based)"
"Confidence :","95% confidence interval (+/-)"

"Area","Jan 2004-Dec 2004","Conf","Jan 2005-Dec 2005","Conf","Jan 2006-Dec 2006","Conf","Jan 2007-Dec 2007","Conf","Jan 2008-Dec 2008","Conf","Jan 2009-Dec 2009","Conf","Jan 2010-Dec 2010","Conf","Jan 2011-Dec 2011","Conf","Jan 2012-Dec 2012","Conf","Jan 2013-Dec 2013","Conf","Jan 2014-Dec 2014","Conf","Jan 2015-Dec 2015","Conf","Jan 2016-Dec 2016","Conf","Jan 2017-Dec 2017","Conf","Jan 2018-Dec 2018","Conf","Jan 2019-Dec 2019","Conf","Jan 2020-Dec 2020","Conf","Jan 2021-Dec 2021","Conf","Jan 2022-Dec 2022","Conf","Jan 2023-Dec 2023","Conf","Jan 2024-Dec 2024","Conf"
"ladu2023:Redbridge",5.5,1.2,7.3,1.4,7.2,1.7,6.1,1.4,7.2,1.5,8.9,1.5,8.9,1.7,10.5,1.8,9.4,1.8,9.1,1.9,6.7,1.3,5.9,1.2,5.1,1.1,5.5,1.4,5.0,1.3,4.3,1.2,5.4,1.3,7.4,1.7,5.0,1.6,5.5,1.6,5.1,1.6
"ladu2023:Richmond upon Thames",4.3,1.0,4.1,0.9,4.1,1.0,3.5,0.9,3.7,0.9,5.0,1.0,5.9,1.3,4.8,1.1,4.6,1.1,4.2,1.1,4.5,1.0,4.3,1.0,3.8,0.9,4.0,1.1,3.8,1.1,2.6,0.8,4.2,1.1,4.5,1.1,2.9,1.1,4.5,1.4,2.9,1.1
"ladu2023:Southwark",10.4,2.0,8.5,1.7,9.5,2.1,9.4,1.9,8.4,1.7,10.7,1.8,10.0,2.0,11.7,2.0,10.0,2.0,11.0,2.2,8.0,1.5,6.7,1.4,6.4,1.4,6.2,1.6,5.9,1.6,4.8,1.3,5.7,1.5,5.0,1.4,5.7,1.8,3.9,1.5,5.1,1.8
"ladu2023:Sutton",4.6,1.1,4.7,1.0,5.1,1.3,4.7,1.1,4.4,1.1,5.7,1.1,7.2,1.4,7.0,1.4,6.7,1.5,6.4,1.6,5.3,1.2,5.3,1.2,4.3,1.0,5.1,1.3,4.7,1.3,4.2,1.1,5.2,1.3,5.1,1.2,3.0,1.2,4.7,1.4,3.7,1.3
"ladu2023:Tower Hamlets",13.1,2.3,11.8,2.2,14.0,2.7,11.7,2.3,11.3,2.1,13.6,2.2,11.9,2.2,13.0,2.2,12.2,2.3,13.1,2.4,8.7,1.7,7.6,1.6,7.9,1.7,8.0,2.1,5.6,1.7,5.4,1.6,6.9,2.0,5.9,1.8,4.6,2.0,6.3,2.2,5.9,2.1
"ladu2023:Waltham Forest",9.0,1.7,9.1,1.6,8.4,1.9,7.6,1.6,8.7,1.8,11.1,1.8,11.2,2.0,11.5,1.9,10.8,2.1,9.4,2.0,9.2,1.8,6.5,1.5,5.9,1.3,5.2,1.4,4.0,1.2,5.2,1.4,7.7,1.9,6.6,1.6,5.9,1.9,5.3,1.7,3.9,1.3
"ladu2023:Wandsworth",5.7,1.2,6.0,1.3,7.2,1.7,5.5,1.3,5.5,1.3,6.3,1.2,7.0,1.5,6.5,1.3,6.6,1.5,7.5,1.8,4.9,1.1,5.0,1.1,4.7,1.1,3.7,1.2,3.9,1.2,3.5,1.1,5.0,1.4,4.3,1.3,2.5,1.1,4.0,1.5,4.4,1.7
"ladu2023:Westminster",7.1,1.5,7.2,1.5,8.2,1.8,6.6,1.4,7.7,1.6,7.7,1.4,8.2,1.8,7.8,1.5,7.4,1.5,6.7,1.5,6.1,1.2,6.3,1.3,6.1,1.4,5.6,1.6,4.9,1.5,4.2,1.4,6.1,1.8,5.0,1.6,3.4,1.5,5.0,2.0,4.8,1.8
"gor:London",7.2,0.4,7.2,0.4,7.7,0.4,6.9,0.4,7.0,0.4,9.2,0.5,8.9,0.5,9.5,0.5,9.2,0.5,8.7,0.5,7.0,0.4,6.1,0.4,5.6,0.4,5.3,0.4,5.0,0.4,4.6,0.4,6.0,0.5,5.6,0.5,4.4,0.5,5.0,0.6,4.8,0.6

